what	PRI.div.model	PRI.Psi	PRI.E.t	PRI.omega	PRI.cv
mode	3.28428	2.01602	0.00324395	0.000943461	0
mean	0.302875	0.532084	0.230561	0.187468	0.368093
median	35.7214	2.68224	0.00326256	0.00295813	0.823772
quantile_50_lower_bound	11.9135	1.90282	0.00229508	0.00129713	0.381297
quantile_50_upper_bound	76.0967	3.26108	0.00425058	0.00661646	1.20083
quantile_90_lower_bound	2.91688	1.10183	0.00102913	0.000293743	0.0394759
quantile_90_upper_bound	138.528	4.30854	0.00570772	0.0122539	1.6417
quantile_95_lower_bound	1.92684	1.04892	0.000698896	0.000147825	0.0187678
quantile_95_upper_bound	149.505	4.86724	0.00615284	0.0139649	1.74197
quantile_99_lower_bound	1.12228	1.0078	0.000233577	2.14725e-05	0.00283517
quantile_99_upper_bound	158.953	5.22208	0.00699777	0.0177341	1.90322
HPD_50_lower_bound	1	0.999947	0.00224117	1.37935e-06	-5.64776e-05
HPD_50_upper_bound	35.7538	3.20726	0.00418939	0.00292335	1.17865
HPD_90_lower_bound	1	0.999984	0.000922423	2.49066e-07	-4.61836e-07
HPD_90_upper_bound	121.088	4.32334	0.0055798	0.0105665	1.51818
HPD_95_lower_bound	1	0.999998	0.000593414	8.87278e-07	8.39337e-07
HPD_95_upper_bound	138.383	4.38339	0.00599482	0.0122641	1.64248
HPD_99_lower_bound	1	0.999999	4.78337e-05	-5.7847e-07	1.02909e-06
HPD_99_upper_bound	156.168	5.25926	0.00669808	0.0179028	1.84002
